model,path,dice
MedSAM-vit_b,liver_130.nii.gz,0.7089757934849311
MedSAM-vit_b,liver_14.nii.gz,0.9108729340886016
MedSAM-vit_b,liver_15.nii.gz,0.9021434612982673
MedSAM-vit_b,liver_16.nii.gz,0.834211036163925
MedSAM-vit_b,liver_17.nii.gz,0.9264304093474224
MedSAM-vit_b,liver_18.nii.gz,0.9322582156953508
MedSAM-vit_b,liver_19.nii.gz,0.7689230124621171
MedSAM-vit_b,liver_2.nii.gz,0.8699404231486084
MedSAM-vit_b,liver_20.nii.gz,0.773881014073768
MedSAM-vit_b,liver_21.nii.gz,0.8564658538487183
MedSAM-vit_b,liver_22.nii.gz,0.8395480013772811
MedSAM-vit_b,liver_23.nii.gz,0.7123421862549437
MedSAM-vit_b,liver_24.nii.gz,0.865436757899671
MedSAM-vit_b,liver_25.nii.gz,0.8156372114975922
MedSAM-vit_b,liver_26.nii.gz,0.5513261828446797
MedSAM-vit_b,liver_27.nii.gz,0.48975590649701073
MedSAM-vit_b,liver_28.nii.gz,0.872286724802081
MedSAM-vit_b,liver_29.nii.gz,0.9371528604422279
MedSAM-vit_b,liver_3.nii.gz,0.6603064487757707
MedSAM-vit_b,liver_30.nii.gz,0.7691758235420522
MedSAM-vit_b,liver_31.nii.gz,0.9054757835230725
MedSAM-vit_b,liver_32.nii.gz,0.9381813771047944
MedSAM-vit_b,liver_33.nii.gz,0.7361944792092258
MedSAM-vit_b,liver_34.nii.gz,0.871822882235014
MedSAM-vit_b,liver_35.nii.gz,0.7219615703581841
MedSAM-vit_b,liver_36.nii.gz,0.9214070247833737
MedSAM-vit_b,liver_37.nii.gz,0.6410695103335201
MedSAM-vit_b,liver_38.nii.gz,0.8214114707281507
MedSAM-vit_b,liver_39.nii.gz,0.8424350444365659
MedSAM-vit_b,liver_4.nii.gz,0.7672214238348697
MedSAM-vit_b,liver_40.nii.gz,0.8829540051356018
MedSAM-vit_b,liver_41.nii.gz,0.8727420230253471
MedSAM-vit_b,liver_42.nii.gz,0.7947689413653389
MedSAM-vit_b,liver_43.nii.gz,0.9279574304240683
MedSAM-vit_b,liver_44.nii.gz,0.9053586764276973
MedSAM-vit_b,liver_45.nii.gz,0.8303995381242539
MedSAM-vit_b,liver_46.nii.gz,0.8627639991818804
MedSAM-vit_b,liver_47.nii.gz,0.927777785753973
MedSAM-vit_b,liver_48.nii.gz,0.8802981277089567
MedSAM-vit_b,liver_49.nii.gz,0.8594402467264448
MedSAM-vit_b,liver_5.nii.gz,0.9241137274305806
MedSAM-vit_b,liver_50.nii.gz,0.8437193793037452
MedSAM-vit_b,liver_51.nii.gz,0.7931259118164011
MedSAM-vit_b,liver_52.nii.gz,0.7573544120674109
MedSAM-vit_b,liver_53.nii.gz,0.8820708316164464
MedSAM-vit_b,liver_54.nii.gz,0.8891038522587468
MedSAM-vit_b,liver_55.nii.gz,0.7660926376347728
MedSAM-vit_b,liver_56.nii.gz,0.8437008851427444
MedSAM-vit_b,liver_57.nii.gz,0.9036037329695563
MedSAM-vit_b,liver_58.nii.gz,0.8869608016260957
MedSAM-vit_b,liver_59.nii.gz,0.8977299500317211
MedSAM-vit_b,liver_6.nii.gz,0.7807875722923584
MedSAM-vit_b,liver_60.nii.gz,0.738862858014517
MedSAM-vit_b,liver_61.nii.gz,0.9204937214464659
MedSAM-vit_b,liver_62.nii.gz,0.8622004100885776
MedSAM-vit_b,liver_63.nii.gz,0.920741123942717
MedSAM-vit_b,liver_64.nii.gz,0.9154926348469147
MedSAM-vit_b,liver_65.nii.gz,0.5279857817959813
MedSAM-vit_b,liver_66.nii.gz,0.8763706910236528
MedSAM-vit_b,liver_67.nii.gz,0.9033670170115248
MedSAM-vit_b,liver_68.nii.gz,0.6431807876720038
MedSAM-vit_b,liver_69.nii.gz,0.9280777604976672
MedSAM-vit_b,liver_7.nii.gz,0.7955963970282345
MedSAM-vit_b,liver_70.nii.gz,0.8179700075901923
MedSAM-vit_b,liver_71.nii.gz,0.9006412003069763
MedSAM-vit_b,liver_72.nii.gz,0.8847782405043867
MedSAM-vit_b,liver_73.nii.gz,0.9468996848381452
MedSAM-vit_b,liver_74.nii.gz,0.8764754952520302
MedSAM-vit_b,liver_75.nii.gz,0.8361789874091106
MedSAM-vit_b,liver_76.nii.gz,0.8424750613761478
MedSAM-vit_b,liver_77.nii.gz,0.9278627528641087
MedSAM-vit_b,liver_78.nii.gz,0.9171314540522313
MedSAM-vit_b,liver_79.nii.gz,0.8926884894846944
MedSAM-vit_b,liver_8.nii.gz,0.8643702541200854
MedSAM-vit_b,liver_80.nii.gz,0.8642191987981193
MedSAM-vit_b,liver_81.nii.gz,0.7296715252038053
MedSAM-vit_b,liver_82.nii.gz,0.7049227818099449
MedSAM-vit_b,liver_83.nii.gz,0.6656419286189021
MedSAM-vit_b,liver_84.nii.gz,0.8236220086932595
MedSAM-vit_b,liver_85.nii.gz,0.8747097082973722
MedSAM-vit_b,liver_86.nii.gz,0.7708216161802283
MedSAM-vit_b,liver_87.nii.gz,0.9238629857481708
MedSAM-vit_b,liver_88.nii.gz,0.6980515751917779
MedSAM-vit_b,liver_89.nii.gz,0.8073392458617406
MedSAM-vit_b,liver_9.nii.gz,0.7948448171432152
MedSAM-vit_b,liver_90.nii.gz,0.7546486417548782
MedSAM-vit_b,liver_91.nii.gz,0.9247336048065876
MedSAM-vit_b,liver_92.nii.gz,0.7089156111684127
MedSAM-vit_b,liver_93.nii.gz,0.6408992562948961
MedSAM-vit_b,liver_94.nii.gz,0.9054014982344558
MedSAM-vit_b,liver_95.nii.gz,0.6679357762601039
MedSAM-vit_b,liver_96.nii.gz,0.8754871395167576
MedSAM-vit_b,liver_97.nii.gz,0.8459599347474583
MedSAM-vit_b,liver_98.nii.gz,0.8393185289397522
MedSAM-vit_b,liver_99.nii.gz,0.893913443235362
