model,path,slice_idx,spleen_dice,rkidney_dice,lkidney_dice,liver_dice,aorta_dice
SAM-vit_h,img0001.nii.gz,67,nan,nan,nan,0.9471064094586186,0.0
SAM-vit_h,img0001.nii.gz,68,nan,nan,nan,0.9684099684099684,nan
SAM-vit_h,img0001.nii.gz,69,nan,nan,nan,0.9654320987654321,nan
SAM-vit_h,img0001.nii.gz,70,nan,nan,nan,0.96397616468039,nan
SAM-vit_h,img0001.nii.gz,71,nan,nan,nan,0.9656979514054311,nan
SAM-vit_h,img0001.nii.gz,72,nan,nan,nan,0.9702203033322263,0.9553956834532374
SAM-vit_h,img0001.nii.gz,73,nan,nan,nan,0.9697584737162573,0.5554537121906508
SAM-vit_h,img0001.nii.gz,74,nan,nan,nan,0.9729483559522725,0.624
SAM-vit_h,img0001.nii.gz,75,nan,nan,nan,0.9607629883711202,0.6351118760757315
SAM-vit_h,img0001.nii.gz,76,nan,nan,nan,0.9663439372982942,0.8610007942811755
SAM-vit_h,img0001.nii.gz,77,nan,nan,nan,0.9570059204961939,0.8780889621087314
SAM-vit_h,img0001.nii.gz,78,nan,0.8394458027709861,nan,0.9687122331140057,0.8826291079812206
SAM-vit_h,img0001.nii.gz,79,nan,0.9010875194199897,nan,0.9766322588816414,0.8526989935956084
SAM-vit_h,img0001.nii.gz,80,nan,0.9169459962756052,nan,nan,0.9230769230769231
SAM-vit_h,img0001.nii.gz,81,nan,0.9510570518389806,nan,0.9774897286036688,0.9090909090909091
SAM-vit_h,img0001.nii.gz,82,nan,0.9664750957854407,nan,0.97848394571334,0.9229357798165138
SAM-vit_h,img0001.nii.gz,83,nan,0.9826262626262626,nan,0.9790681237427282,0.9068203650336215
SAM-vit_h,img0001.nii.gz,84,nan,0.9530936302244936,nan,0.9703150026695142,0.8638412984670875
SAM-vit_h,img0001.nii.gz,85,nan,0.9545157068062827,nan,0.9824820599409033,0.9014084507042254
SAM-vit_h,img0001.nii.gz,86,nan,0.9668062200956937,nan,0.9715637319316689,0.8767908309455588
SAM-vit_h,img0001.nii.gz,87,nan,0.9697053534375433,0.3749224084419615,0.9795282136547854,0.9542857142857143
SAM-vit_h,img0001.nii.gz,88,nan,0.966277391418449,0.9097605893186004,0.9747717071660733,0.9530201342281879
SAM-vit_h,img0001.nii.gz,89,nan,0.9476541295075611,0.9197026022304833,0.9760649087221095,0.9085659287776708
SAM-vit_h,img0001.nii.gz,90,nan,0.9460440985732814,0.9538057742782152,0.9684819469379613,0.8996350364963503
SAM-vit_h,img0001.nii.gz,91,nan,0.9571187977717321,0.9695160946493285,0.9409029257895757,0.9453924914675768
SAM-vit_h,img0001.nii.gz,92,nan,0.9508105861161147,0.9692820133234641,0.94700533082471,0.8746928746928747
SAM-vit_h,img0001.nii.gz,93,nan,0.9166777762964938,0.9706640876853643,0.9547448915632444,0.9104234527687296
SAM-vit_h,img0001.nii.gz,94,nan,0.9533780011166946,0.9680258140217073,0.9465823301367068,0.8354430379746836
SAM-vit_h,img0001.nii.gz,95,nan,0.9518220281151903,0.9765539803707742,0.9581018170896531,0.899505766062603
SAM-vit_h,img0001.nii.gz,96,nan,0.9629629629629629,0.9658751784092383,0.7600983085152523,0.7396768402154399
SAM-vit_h,img0001.nii.gz,97,nan,0.9753231492361927,0.9560258522367254,0.8040018452312305,0.9298892988929889
SAM-vit_h,img0001.nii.gz,98,nan,0.8957969495866807,0.9466549516756622,0.77896862379621,0.9171102661596958
SAM-vit_h,img0001.nii.gz,99,nan,0.8981399468556245,0.9331514324693042,0.8184377882421476,0.7956254272043746
SAM-vit_h,img0001.nii.gz,100,nan,0.8952802359882006,0.9123617357481464,0.879370799649362,0.8029490616621984
SAM-vit_h,img0001.nii.gz,101,nan,0.8936431569249668,0.9429206819866568,0.883934567138521,0.826625386996904
SAM-vit_h,img0001.nii.gz,102,nan,0.9266723436465134,0.9228070175438596,0.8718519477158018,0.9180616740088106
SAM-vit_h,img0001.nii.gz,103,nan,0.9764168885507798,0.9103767833191074,0.8551676116582114,0.8234375
SAM-vit_h,img0001.nii.gz,104,nan,0.9647482014388489,0.8800759914509617,0.8414117647058823,0.9124270225187656
SAM-vit_h,img0001.nii.gz,105,nan,0.9717543859649123,0.863313551901936,0.9181515046130556,0.9064279902359642
SAM-vit_h,img0001.nii.gz,106,0.8663171690694627,0.9586503473370823,0.9563131060681795,0.841305239870832,0.8949545078577337
SAM-vit_h,img0001.nii.gz,107,0.9297173414820473,0.9828398384925976,0.9270154533606405,0.8901404248177088,0.9124203821656051
SAM-vit_h,img0001.nii.gz,108,0.9515418502202643,0.9674526735303886,0.92246262419909,0.921117010673577,0.9515859766277128
